file_number,phrase,trc,readID,telo_length
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,969f022f-6ca4-4dcf-b09d-a3b2d7a1025a,8080
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,1dc3c644-d6d5-4db1-ad2d-cb6454eae080,2800
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,5e495033-6f88-4f2f-a411-bcae5de7415e,4450
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.936,4f389101-3df1-428e-b55e-1e095a5c3b8c,8260
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.858,b7c2234f-f88d-4388-b324-f6aec3e8ced9,520
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,2ef6c8b6-a613-4506-ab59-a13e77b4573f,9520
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,602dae59-e05a-4c4a-a008-60b3e0d35bba,9850
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.140,70b7ecca-5e6e-4cf7-a5b6-39f5f67020cb,13510
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,2c563e55-0630-4430-a678-f24c78aea19d,6100
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,552dd064-d512-46d6-a680-ad1aac3ccfa4,5080
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,26985447-971c-4d31-8753-395f193fb61d,6460
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,7491ced6-9c1d-414b-9230-653eab7f8852,12700
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,be30d15c-68da-4da7-bf4c-7eddc0fb152b,5050
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.080,f477d939-7804-40eb-8134-f7f3fa17afec,760
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,12d1fdf6-cb5c-4f95-a68e-1e223ab82760,9730
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,8e320275-fdd7-4085-b82a-d97cd0556521,5740
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.978,4c45a5ae-059f-45b0-adee-535e462754a5,1480
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,daa94829-2f8b-4287-9bce-cbf52599bcb4,7060
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,b24e4168-f4f6-4220-a2b1-8659368902d9,4030
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,4427c68a-f890-489a-b857-3c4ce684974d,9190
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,0731ab96-0ba1-4343-9a7c-5b1eeddefcab,7930
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,14e0b668-2a12-4c38-9ac9-9a6308308725,4090
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,c005ce88-81da-4b17-9bad-36d964806a30,9790
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.840,378cddae-82cf-41e3-9520-21d623e12141,1600
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,73843a85-a5ec-4185-9c4d-7204d59842d1,4540
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,15ab48c5-1205-497a-b525-268ca537162b,6040
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.768,ef36bdb3-dc18-4748-82c0-b33fdd76c081,880
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,d755f1b8-51ca-4e13-9777-c3bcfffe6e13,7630
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.972,dc05009a-f66b-4c7b-bc93-551c843ce3c3,5650
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.074,0a8f9dcc-ff77-4119-91f4-161d3f6febd6,850
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.774,413cd42b-a8c8-4def-b68f-797ab0199104,940
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.720,438b6078-b009-493a-9225-ec1556bbfb79,880
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,e77233c9-56c1-41c0-99d6-2893d31c1e6a,7090
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,d7585736-a34b-4553-ba69-ea7f5ddc7a85,4660
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,48054574-9aaa-452f-b31c-a871ef06c1b0,8110
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.116,fce74518-c3f9-4337-b662-e29faeb1d119,910
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.864,1ca8ed77-691b-4965-86ba-a7cd8b2ca6d8,2020
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.750,19745378-9d92-4525-9cfd-1ba94f8a5228,2380
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.930,6293eda9-d47a-4c27-b953-3bacb66474ca,1420
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,f501d91f-83be-4ebc-9c31-caf5547f979a,6910
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.846,de0e9de1-937a-4714-aeb0-af51f15c2f4f,6310
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,52f86e5e-37d0-497c-9466-50d834ae0d4a,6640
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,94e092b8-598a-4830-b9cc-29757c1a5df8,8890
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,163cac08-28b0-4fd5-b2b6-72dc285d9395,5470
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.960,dd8278ef-a6dd-4371-9224-d9fafa8076ae,1390
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.756,2f3e8d3d-d063-4887-bad6-1a7e9d9e86de,1600
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.852,2b588298-5025-4afe-aa1c-66ee994e7d67,1300
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,58e02eda-1ca8-4568-bdd4-68ce83ba945c,9910
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,2181f953-bb55-4887-9517-7c2a869cadf0,6550
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,3015da24-e0fc-4463-9948-08fead072e6b,4390
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,40dda5a9-7ccc-455b-b58b-abdce54207d3,5710
